2017 san antonio run climb
2017-1-30

200 # 42 people were in bonus range ( under 15:50 ) and added the max of 100 bonus to the 100 point base
141,Anna Franco,,F3140,08:45:00 AM,03:13:00 PM,11:59:00 PM
434,Isaac Saucedo,,M2130,09:48:00 AM,02:16:00 PM,24:04:00
2954,Camilla Rambaldi,,F2130,09:51:00 AM,02:13:00 PM,24:05:00
2942,Michael Locklear,,M2130,09:47:00 AM,02:18:00 PM,24:05:00
137,Lori Flores,,F3140,11:27:00 AM,12:40:00 PM,24:07:00
115,Tynette Edwards,,F4150,10:20:00 AM,01:47:00 PM,24:08:00
2947,Nicholas Gutierrez,,M2130,09:05:00 AM,03:03:00 PM,24:09:00
300,Deidra Mccutchen,,F2130,10:05:00 AM,02:03:00 PM,24:09:00
2915,Marcie Blangiardo,,F4150,10:23:00 AM,01:48:00 PM,24:11:00
175,Greg Gomez,,M4150,08:36:00 AM,03:35:00 PM,24:12:00
442,Ryan Sharp,,M3140,08:02:00 AM,04:10:00 PM,24:12:00
238,Garcia Johnson,,M3140,10:50:00 AM,01:25:00 PM,24:15:00
2959,Kristin Dean,,F3140,09:59:00 AM,02:17:00 PM,24:16:00
260,Rosana Leon,,F4150,08:52:00 AM,03:25:00 PM,24:18:00
2913,Joel Ziegler,,M4150,08:08:00 AM,04:10:00 PM,24:18:00
9,Kelly Anderson,,F2130,09:10:00 AM,03:11:00 PM,24:22:00
99,Don Dendy,,M5199,06:36:00 AM,05:45:00 PM,24:22:00
332,Huy Nguyen,,M3140,09:14:00 AM,03:09:00 PM,24:24:00
128,Alexias Ferrer,,M2130,09:56:00 AM,02:32:00 PM,24:29:00
NO,FN LN,,DIVISION,RUN,CLIMB,TIME
425,Daniel Sanchez,,M3140,11:01:00 AM,01:29:00 PM,24:31:00
2945,Sal Rodriguez,,M4150,10:18:00 AM,02:13:00 PM,24:32:00
2914,Laurel Becker,,F4150,10:21:00 AM,02:12:00 PM,24:33:00
223,Richard Holt,,M5199,10:35:00 AM,01:59:00 PM,24:34:00
274,Stacy Longenecker,,F3140,09:53:00 AM,02:41:00 PM,24:35:00
217,Yvette Hernandez,,F3140,09:39:00 AM,02:57:00 PM,24:37:00
451,Bobby Sims,,M4150,09:40:00 AM,02:58:00 PM,24:38:00
12,Alvin Antonio,,M4150,08:10:00 AM,04:29:00 PM,24:39:00
2926,David Moore,,M5199,09:57:00 AM,02:43:00 PM,24:40:00
494,Nancy Vaughan,,F5199,09:36:00 AM,03:10:00 PM,24:47:00
2940,William Drane,,M5199,09:15:00 AM,03:31:00 PM,24:47:00
312,Veronica Miller,,F4150,09:20:00 AM,03:28:00 PM,24:49:00
176,Andrea Gonzales,,F3140,10:08:00 AM,02:41:00 PM,24:49:00
3,Amanda Albiar,,F4150,08:02:00 AM,04:48:00 PM,24:50:00
86,Nina Contreras,,F3140,09:18:00 AM,03:33:00 PM,24:51:00
246,Bianca Kaufman,,F3140,10:28:00 AM,02:26:00 PM,24:54:00
319,Patricia Montez,,F3140,10:08:00 AM,02:53:00 PM,25:02:00
62,Steven Campos,,M3140,08:38:00 AM,04:38:00 PM,25:17:00
96,Javier De La Vega,,M4150,07:39:00 AM,05:37:00 PM,25:17:00
19,Ahila Arulmani,,F120,08:29:00 AM,04:48:00 PM,25:18:00
294,Sylvia Martinez,,F4150,08:29:00 AM,04:52:00 PM,25:22:00
335,Amy Nighbert,,F4150,10:14:00 AM,03:09:00 PM,25:23:00
276,Andrea Lopez,,F4150,09:17:00 AM,04:08:00 PM,25:26:00
68,Donna Carvajal,,F4150,09:33:00 AM,04:01:00 PM,25:35:00
273,Jon Longenecker,,M3140,01:34:00 PM,12:05:00 PM,25:39:00
456,Clayton Smith,,M5199,10:05:00 AM,03:41:00 PM,25:46:00
431,Genevieve Santos,,F2130,08:29:00 AM,05:20:00 PM,25:50:00
134,David Flores,,M4150,10:24:00 AM,03:26:00 PM,25:51:00
2946,Victor Rodriguez,,MUK,10:18:00 AM,03:35:00 PM,25:53:00
153,George Gallo,,M4150,10:16:00 AM,03:40:00 PM,25:56:00
43,Connie Bracamonte,,F4150,09:49:00 AM,04:08:00 PM,25:57:00
299,Kelly Mcallen,,F5199,10:41:00 AM,03:18:00 PM,25:59:00
2997,Marie Diaz,,F2130,07:20:00 AM,06:40:00 PM,26:00:00
